Iteration,empty,normal,H,G,GH,A,AH,AG,AGH
0,2450,50,0,0,0,0,0,0,0
1,2450,50,0,0,0,0,0,0,0
2,2450,50,0,0,0,0,0,0,0
3,2450,50,0,0,0,0,0,0,0
4,2450,50,0,0,0,0,0,0,0
5,2450,50,0,0,0,0,0,0,0
6,2450,50,0,0,0,0,0,0,0
7,2450,50,0,0,0,0,0,0,0
8,2450,50,0,0,0,0,0,0,0
9,2450,50,0,0,0,0,0,0,0
10,2450,50,0,0,0,0,0,0,0
11,2450,50,0,0,0,0,0,0,0
12,2450,50,0,0,0,0,0,0,0
13,2450,50,0,0,0,0,0,0,0
14,2450,50,0,0,0,0,0,0,0
15,2450,50,0,0,0,0,0,0,0
16,2450,50,0,0,0,0,0,0,0
17,2450,50,0,0,0,0,0,0,0
18,2450,50,0,0,0,0,0,0,0
19,2450,50,0,0,0,0,0,0,0
20,2450,50,0,0,0,0,0,0,0
21,2450,50,0,0,0,0,0,0,0
22,2450,50,0,0,0,0,0,0,0
23,2450,50,0,0,0,0,0,0,0
24,2450,50,0,0,0,0,0,0,0
25,2450,50,0,0,0,0,0,0,0
26,2450,50,0,0,0,0,0,0,0
27,2450,50,0,0,0,0,0,0,0
28,2450,49,0,0,0,1,0,0,0
29,2450,49,0,0,0,1,0,0,0
30,2450,49,0,0,0,1,0,0,0
31,2450,49,0,0,0,1,0,0,0
32,2450,48,0,1,0,1,0,0,0
33,2450,48,0,1,0,1,0,0,0
34,2450,48,0,1,0,1,0,0,0
35,2450,48,0,1,0,1,0,0,0
36,2450,48,0,1,0,1,0,0,0
37,2450,48,0,1,0,1,0,0,0
38,2450,48,0,1,0,1,0,0,0
39,2450,47,0,2,0,1,0,0,0
40,2450,47,0,2,0,1,0,0,0
41,2450,47,0,2,0,1,0,0,0
42,2450,47,0,2,0,1,0,0,0
43,2450,47,0,2,0,1,0,0,0
44,2450,46,0,2,0,2,0,0,0
45,2450,46,0,2,0,2,0,0,0
46,2450,46,0,2,0,2,0,0,0
47,2450,46,0,2,0,2,0,0,0
48,2450,46,0,2,0,2,0,0,0
49,2450,46,0,2,0,2,0,0,0
50,2450,46,0,2,0,2,0,0,0
51,2450,46,0,2,0,2,0,0,0
52,2450,46,0,2,0,2,0,0,0
53,2450,46,0,2,0,2,0,0,0
54,2450,44,0,2,0,4,0,0,0
55,2450,44,0,2,0,4,0,0,0
56,2450,44,0,2,0,4,0,0,0
57,2450,44,0,2,0,4,0,0,0
58,2450,44,0,2,0,4,0,0,0
59,2450,44,0,2,0,4,0,0,0
60,2450,44,0,2,0,4,0,0,0
61,2450,44,0,2,0,4,0,0,0
62,2450,44,0,2,0,4,0,0,0
63,2450,44,0,2,0,4,0,0,0
64,2450,44,0,2,0,4,0,0,0
65,2450,43,1,2,0,4,0,0,0
66,2450,43,1,2,0,4,0,0,0
67,2450,43,1,2,0,4,0,0,0
68,2449,43,2,2,0,4,0,0,0
69,2448,43,3,2,0,4,0,0,0
70,2448,42,3,3,0,4,0,0,0
71,2447,42,4,3,0,4,0,0,0
72,2446,42,5,3,0,4,0,0,0
73,2444,42,7,3,0,4,0,0,0
74,2442,42,9,3,0,4,0,0,0
75,2439,42,12,3,0,4,0,0,0
76,2437,42,14,3,0,4,0,0,0
77,2434,42,17,3,0,4,0,0,0
78,2431,42,20,3,0,4,0,0,0
79,2427,42,24,3,0,4,0,0,0
80,2423,42,28,3,0,4,0,0,0
81,2417,42,34,3,0,4,0,0,0
82,2416,42,36,2,0,4,0,0,0
83,2409,42,43,2,0,4,0,0,0
84,2405,41,47,3,0,4,0,0,0
85,2397,41,55,3,0,4,0,0,0
86,2394,41,58,3,0,4,0,0,0
87,2386,41,66,3,0,4,0,0,0
88,2381,41,71,3,0,4,0,0,0
89,2372,41,80,3,0,4,0,0,0
90,2368,41,84,3,0,4,0,0,0
91,2360,41,92,3,0,4,0,0,0
92,2354,41,98,3,0,4,0,0,0
93,2345,41,107,3,0,4,0,0,0
94,2336,41,116,3,0,4,0,0,0
95,2330,41,122,3,0,4,0,0,0
96,2322,41,130,3,0,4,0,0,0
97,2313,41,139,3,0,4,0,0,0
98,2303,41,149,3,0,4,0,0,0
99,2295,41,157,3,0,4,0,0,0
100,2284,41,168,3,0,4,0,0,0
101,2277,41,175,3,0,4,0,0,0
102,2269,40,183,4,0,4,0,0,0
103,2260,40,192,4,0,4,0,0,0
104,2251,40,200,4,1,4,0,0,0
105,2244,40,207,4,1,4,0,0,0
106,2234,40,217,4,1,4,0,0,0
107,2222,40,228,4,2,4,0,0,0
108,2210,40,240,4,2,4,0,0,0
109,2199,40,250,4,3,4,0,0,0
110,2186,40,263,4,3,4,0,0,0
111,2170,40,278,4,4,4,0,0,0
112,2161,40,287,4,4,4,0,0,0
113,2146,40,301,4,5,4,0,0,0
114,2136,40,311,4,5,4,0,0,0
115,2122,40,324,4,6,4,0,0,0
116,2113,40,333,4,6,4,0,0,0
117,2100,40,345,4,7,4,0,0,0
118,2095,40,350,4,7,4,0,0,0
119,2081,39,363,4,9,4,0,0,0
120,2075,39,370,3,9,4,0,0,0
121,2063,40,380,3,10,4,0,0,0
122,2058,40,385,3,10,4,0,0,0
123,2048,40,394,3,11,4,0,0,0
124,2041,40,400,3,11,4,1,0,0
125,2033,40,407,3,12,4,1,0,0
126,2025,40,415,3,12,4,1,0,0
127,2012,40,426,3,14,4,1,0,0
128,2005,40,434,3,13,4,1,0,0
129,1992,40,446,3,14,4,1,0,0
130,1980,40,457,3,15,4,1,0,0
131,1969,40,469,3,14,4,1,0,0
132,1961,40,477,3,14,4,1,0,0
133,1954,40,485,3,13,4,1,0,0
134,1945,40,494,3,13,4,1,0,0
135,1937,40,502,3,13,4,1,0,0
136,1932,40,507,3,13,4,1,0,0
137,1926,40,513,3,13,4,1,0,0
138,1923,39,517,3,13,4,1,0,0
139,1917,39,523,3,13,4,1,0,0
140,1911,38,530,3,13,4,1,0,0
141,1902,38,539,3,13,4,1,0,0
142,1897,38,544,3,13,4,1,0,0
143,1894,38,547,3,13,4,1,0,0
144,1889,38,552,3,13,4,1,0,0
145,1885,38,556,3,13,4,1,0,0
146,1883,38,558,3,13,4,1,0,0
147,1873,38,569,3,12,4,1,0,0
148,1867,38,574,3,13,4,1,0,0
149,1860,38,581,3,13,4,1,0,0
150,1853,38,588,3,13,4,1,0,0
151,1852,38,589,3,13,4,1,0,0
152,1847,38,594,3,13,4,1,0,0
153,1842,38,599,3,13,4,1,0,0
154,1843,38,598,3,13,4,1,0,0
155,1836,38,605,3,13,4,1,0,0
156,1832,38,609,3,13,4,1,0,0
157,1832,38,610,3,12,4,1,0,0
158,1829,38,614,3,11,4,1,0,0
159,1825,38,619,3,10,4,1,0,0
160,1820,38,622,4,11,4,1,0,0
161,1821,38,622,4,10,4,1,0,0
162,1816,38,627,4,9,4,1,0,1
163,1815,38,628,4,9,4,1,0,1
164,1812,38,630,4,10,4,1,0,1
165,1808,38,634,4,10,4,1,0,1
166,1814,38,628,4,10,4,1,0,1
167,1811,39,630,4,10,4,1,0,1
168,1807,38,635,4,10,4,1,0,1
169,1801,38,642,3,10,4,1,0,1
170,1793,38,650,3,10,4,1,0,1
171,1788,38,655,3,9,4,2,0,1
172,1786,38,658,3,8,4,2,0,1
173,1784,38,660,3,8,4,2,0,1
174,1780,38,664,3,8,4,2,0,1
175,1773,38,671,3,8,4,2,0,1
176,1773,38,672,3,7,4,2,0,1
177,1774,38,671,3,7,4,2,0,1
178,1774,38,671,3,7,4,2,0,1
179,1771,38,674,3,7,4,2,0,1
180,1771,38,674,3,7,4,2,0,1
181,1766,38,679,3,7,4,2,0,1
182,1761,38,684,3,7,4,2,0,1
183,1758,38,686,3,8,4,2,0,1
184,1759,38,685,3,8,4,2,0,1
185,1762,37,683,3,8,4,2,0,1
186,1769,37,678,3,6,4,2,0,1
187,1763,37,683,4,6,4,2,0,1
188,1754,37,691,4,7,4,2,0,1
189,1751,37,694,4,7,4,2,0,1
190,1748,37,697,4,7,4,2,0,1
191,1751,37,694,4,7,4,2,0,1
192,1750,37,695,4,7,4,2,0,1
193,1748,37,697,4,7,4,2,0,1
194,1746,37,699,4,7,4,2,0,1
195,1741,37,703,4,8,4,2,0,1
196,1740,37,704,4,8,4,2,0,1
197,1735,37,709,4,8,4,2,0,1
198,1737,37,708,4,7,4,2,0,1
199,1742,37,703,4,7,4,2,0,1
200,1738,37,707,4,7,4,2,0,1
201,1734,37,711,4,7,4,2,0,1
202,1735,37,710,4,7,4,2,0,1
203,1731,37,713,4,8,4,2,0,1
204,1730,37,714,4,8,4,2,0,1
205,1730,37,714,4,8,4,2,0,1
206,1726,37,718,4,8,4,2,0,1
207,1727,37,717,4,8,4,2,0,1
208,1730,37,714,4,8,4,2,0,1
209,1727,37,717,4,8,4,2,0,1
210,1721,37,723,4,8,4,2,0,1
211,1719,37,724,4,9,4,2,0,1
212,1716,37,728,3,9,4,2,0,1
213,1712,37,732,3,9,4,2,0,1
