Iteration,empty,normal,H,G,GH,A,AH,AG,AGH
0,2450,50,0,0,0,0,0,0,0
1,2450,50,0,0,0,0,0,0,0
2,2450,50,0,0,0,0,0,0,0
3,2450,50,0,0,0,0,0,0,0
4,2450,50,0,0,0,0,0,0,0
5,2450,50,0,0,0,0,0,0,0
6,2450,50,0,0,0,0,0,0,0
7,2450,50,0,0,0,0,0,0,0
8,2450,50,0,0,0,0,0,0,0
9,2450,50,0,0,0,0,0,0,0
10,2450,50,0,0,0,0,0,0,0
11,2450,50,0,0,0,0,0,0,0
12,2450,50,0,0,0,0,0,0,0
13,2450,50,0,0,0,0,0,0,0
14,2450,50,0,0,0,0,0,0,0
15,2450,50,0,0,0,0,0,0,0
16,2450,50,0,0,0,0,0,0,0
17,2450,50,0,0,0,0,0,0,0
18,2450,50,0,0,0,0,0,0,0
19,2450,50,0,0,0,0,0,0,0
20,2450,50,0,0,0,0,0,0,0
21,2450,50,0,0,0,0,0,0,0
22,2450,50,0,0,0,0,0,0,0
23,2450,50,0,0,0,0,0,0,0
24,2450,50,0,0,0,0,0,0,0
25,2450,50,0,0,0,0,0,0,0
26,2450,50,0,0,0,0,0,0,0
27,2450,50,0,0,0,0,0,0,0
28,2450,49,0,0,0,1,0,0,0
29,2450,49,0,0,0,1,0,0,0
30,2450,49,0,0,0,1,0,0,0
31,2450,49,0,0,0,1,0,0,0
32,2450,48,1,0,0,1,0,0,0
33,2450,48,1,0,0,1,0,0,0
34,2449,48,2,0,0,1,0,0,0
35,2448,48,3,0,0,1,0,0,0
36,2447,48,4,0,0,1,0,0,0
37,2447,48,4,0,0,1,0,0,0
38,2444,48,7,0,0,1,0,0,0
39,2444,48,7,0,0,1,0,0,0
40,2440,48,11,0,0,1,0,0,0
41,2438,48,13,0,0,1,0,0,0
42,2435,48,16,0,0,1,0,0,0
43,2433,47,18,0,0,2,0,0,0
44,2428,47,23,0,0,2,0,0,0
45,2424,47,27,0,0,2,0,0,0
46,2420,47,31,0,0,2,0,0,0
47,2413,47,38,0,0,2,0,0,0
48,2411,47,40,0,0,2,0,0,0
49,2399,47,52,0,0,2,0,0,0
50,2393,47,58,0,0,2,0,0,0
51,2381,47,70,0,0,2,0,0,0
52,2375,47,76,0,0,2,0,0,0
53,2360,47,91,0,0,2,0,0,0
54,2353,47,98,0,0,2,0,0,0
55,2340,47,111,0,0,2,0,0,0
56,2331,47,120,0,0,2,0,0,0
57,2316,47,135,0,0,2,0,0,0
58,2307,47,144,0,0,2,0,0,0
59,2295,47,156,0,0,2,0,0,0
60,2285,47,166,0,0,2,0,0,0
61,2272,47,179,0,0,2,0,0,0
62,2263,47,188,0,0,2,0,0,0
63,2250,47,201,0,0,2,0,0,0
64,2240,47,211,0,0,2,0,0,0
65,2229,47,222,0,0,2,0,0,0
66,2220,47,231,0,0,2,0,0,0
67,2209,47,242,0,0,2,0,0,0
68,2204,47,247,0,0,2,0,0,0
69,2193,47,258,0,0,2,0,0,0
70,2185,47,266,0,0,2,0,0,0
71,2170,47,281,0,0,2,0,0,0
72,2164,47,287,0,0,2,0,0,0
73,2155,47,296,0,0,2,0,0,0
74,2148,47,303,0,0,2,0,0,0
75,2135,47,316,0,0,2,0,0,0
76,2130,47,321,0,0,2,0,0,0
77,2120,47,331,0,0,2,0,0,0
78,2109,47,342,0,0,2,0,0,0
79,2104,47,347,0,0,2,0,0,0
80,2087,47,364,0,0,2,0,0,0
81,2081,47,370,0,0,2,0,0,0
82,2074,47,377,0,0,2,0,0,0
83,2067,47,384,0,0,2,0,0,0
84,2059,47,392,0,0,2,0,0,0
85,2049,47,402,0,0,2,0,0,0
86,2038,47,413,0,0,2,0,0,0
87,2029,47,422,0,0,2,0,0,0
88,2020,47,431,0,0,2,0,0,0
89,2014,47,437,0,0,2,0,0,0
90,2006,47,445,0,0,2,0,0,0
91,2004,47,447,0,0,2,0,0,0
92,1996,47,455,0,0,2,0,0,0
93,1991,47,460,0,0,2,0,0,0
94,1984,47,467,0,0,2,0,0,0
95,1981,47,470,0,0,2,0,0,0
96,1973,47,478,0,0,2,0,0,0
97,1968,47,483,0,0,2,0,0,0
98,1963,47,488,0,0,2,0,0,0
99,1955,47,495,0,1,2,0,0,0
100,1950,47,500,0,1,2,0,0,0
101,1944,47,505,0,2,2,0,0,0
102,1936,47,513,0,2,2,0,0,0
103,1931,47,517,0,3,2,0,0,0
104,1925,47,522,0,4,2,0,0,0
105,1919,47,528,0,4,2,0,0,0
106,1917,47,529,0,5,2,0,0,0
107,1911,47,534,0,6,2,0,0,0
108,1903,47,541,0,6,2,1,0,0
109,1903,47,541,0,6,2,1,0,0
110,1899,47,544,0,7,2,1,0,0
111,1896,47,546,0,7,2,2,0,0
112,1897,46,544,0,8,2,3,0,0
113,1897,46,543,0,9,2,3,0,0
114,1892,46,548,0,9,2,3,0,0
115,1890,46,549,0,10,2,3,0,0
116,1892,46,546,0,11,2,3,0,0
117,1885,46,552,0,12,2,3,0,0
118,1879,46,558,0,12,2,3,0,0
119,1875,46,562,0,12,2,3,0,0
120,1869,46,566,0,14,2,3,0,0
121,1864,46,569,0,16,2,3,0,0
122,1863,46,569,0,17,2,3,0,0
123,1857,46,571,0,21,2,3,0,0
124,1854,46,574,0,21,2,3,0,0
125,1847,46,575,0,27,2,3,0,0
126,1850,46,573,0,26,2,3,0,0
127,1846,46,572,0,31,2,3,0,0
128,1839,46,575,0,35,2,3,0,0
129,1839,46,575,0,35,2,3,0,0
130,1833,46,578,0,38,2,3,0,0
131,1828,46,581,0,40,2,3,0,0
132,1819,46,587,0,43,2,3,0,0
133,1820,46,582,0,47,2,3,0,0
134,1818,46,583,0,48,2,3,0,0
135,1813,46,582,0,54,2,3,0,0
136,1807,46,586,0,56,2,3,0,0
137,1802,46,586,0,60,2,3,0,1
138,1799,46,587,0,62,2,3,0,1
139,1800,46,585,0,63,2,3,0,1
140,1799,46,584,0,65,2,3,0,1
141,1797,46,583,0,68,2,3,0,1
142,1793,46,585,0,70,2,3,0,1
143,1787,46,588,0,72,2,3,0,2
144,1776,46,591,0,80,2,3,0,2
145,1774,46,594,0,78,2,3,0,3
146,1773,46,594,0,79,2,3,0,3
147,1769,46,593,0,84,2,3,0,3
148,1765,46,593,0,88,2,3,0,3
149,1763,46,590,0,92,2,3,0,4
150,1760,46,587,0,98,2,3,0,4
151,1763,46,583,0,99,2,3,0,4
152,1756,46,586,0,101,2,3,0,6
153,1750,46,590,0,103,2,3,0,6
154,1745,46,591,0,107,2,3,0,6
155,1744,46,593,0,106,2,2,0,7
156,1741,46,591,0,111,2,1,0,8
157,1737,46,588,0,117,2,1,0,9
158,1732,46,589,0,121,2,1,0,9
159,1724,46,592,0,126,2,1,0,9
160,1718,46,592,0,129,2,1,0,12
161,1718,46,591,0,129,2,1,0,13
162,1710,46,590,0,138,2,1,0,13
163,1701,46,591,0,145,2,1,0,14
164,1690,46,597,0,149,2,1,0,15
165,1686,46,597,0,153,2,1,0,15
166,1687,46,597,0,153,2,0,0,15
167,1690,46,595,0,152,2,0,0,15
168,1685,46,597,0,155,2,0,0,15
169,1690,46,593,0,154,2,0,0,15
170,1684,46,589,0,163,2,0,0,16
171,1680,46,587,0,169,2,0,0,16
172,1679,46,584,0,173,2,0,0,16
173,1674,46,586,0,175,2,0,0,17
174,1676,46,583,0,175,2,0,0,18
175,1677,46,577,0,180,2,0,0,18
176,1671,46,572,0,191,2,0,0,18
177,1667,46,576,0,191,2,0,0,18
178,1653,46,583,0,198,2,0,0,18
179,1657,46,581,0,196,2,0,0,18
180,1655,46,579,0,200,2,0,0,18
181,1647,46,577,0,208,2,0,0,20
182,1649,46,573,0,209,2,0,0,21
183,1643,46,568,0,218,2,0,0,23
184,1637,46,567,0,223,2,0,0,25
185,1634,46,565,0,227,2,0,0,26
186,1634,46,563,0,230,2,0,0,25
187,1623,46,567,0,237,2,0,0,25
188,1626,46,565,0,238,2,0,0,23
189,1621,46,565,0,242,2,0,0,24
190,1628,45,561,0,240,2,0,0,24
191,1614,45,557,0,258,2,0,0,24
192,1602,46,555,0,272,2,0,0,23
193,1610,46,552,0,266,2,0,0,24
194,1607,46,554,0,265,2,0,0,26
195,1597,46,556,0,272,2,0,0,27
196,1587,46,558,0,280,2,0,0,27
197,1585,46,560,0,279,2,0,0,28
198,1588,46,554,0,282,2,0,0,28
199,1589,46,547,0,287,2,0,0,29
200,1583,46,544,0,295,2,0,0,30
201,1589,46,537,0,297,2,0,0,29
202,1580,46,537,0,305,2,0,0,30
203,1562,46,541,0,318,2,0,0,31
204,1555,46,538,0,328,2,0,0,31
205,1557,46,536,0,329,2,0,0,30
206,1563,46,532,0,327,2,0,0,30
207,1556,46,525,0,338,2,0,0,33
208,1547,46,527,0,345,2,0,0,33
209,1551,46,521,0,345,2,0,0,35
210,1551,46,523,0,342,2,0,0,36
211,1541,46,523,0,351,2,0,0,37
212,1540,46,522,0,352,2,0,0,38
213,1543,46,521,0,349,2,0,0,39
