Iteration,empty,normal,H,G,GH,A,AH,AG,AGH
0,2450,50,0,0,0,0,0,0,0
1,2450,50,0,0,0,0,0,0,0
2,2450,50,0,0,0,0,0,0,0
3,2450,50,0,0,0,0,0,0,0
4,2450,50,0,0,0,0,0,0,0
5,2450,50,0,0,0,0,0,0,0
6,2450,50,0,0,0,0,0,0,0
7,2450,50,0,0,0,0,0,0,0
8,2450,50,0,0,0,0,0,0,0
9,2450,50,0,0,0,0,0,0,0
10,2450,50,0,0,0,0,0,0,0
11,2450,50,0,0,0,0,0,0,0
12,2450,50,0,0,0,0,0,0,0
13,2450,50,0,0,0,0,0,0,0
14,2450,50,0,0,0,0,0,0,0
15,2450,50,0,0,0,0,0,0,0
16,2450,50,0,0,0,0,0,0,0
17,2450,50,0,0,0,0,0,0,0
18,2450,50,0,0,0,0,0,0,0
19,2450,50,0,0,0,0,0,0,0
20,2450,50,0,0,0,0,0,0,0
21,2450,50,0,0,0,0,0,0,0
22,2450,50,0,0,0,0,0,0,0
23,2450,50,0,0,0,0,0,0,0
24,2450,50,0,0,0,0,0,0,0
25,2450,50,0,0,0,0,0,0,0
26,2450,50,0,0,0,0,0,0,0
27,2450,50,0,0,0,0,0,0,0
28,2450,49,1,0,0,0,0,0,0
29,2450,49,1,0,0,0,0,0,0
30,2450,49,1,0,0,0,0,0,0
31,2449,49,2,0,0,0,0,0,0
32,2448,49,3,0,0,0,0,0,0
33,2447,49,4,0,0,0,0,0,0
34,2447,49,4,0,0,0,0,0,0
35,2446,49,5,0,0,0,0,0,0
36,2444,49,7,0,0,0,0,0,0
37,2441,49,10,0,0,0,0,0,0
38,2438,49,13,0,0,0,0,0,0
39,2436,49,15,0,0,0,0,0,0
40,2432,49,18,0,1,0,0,0,0
41,2427,49,23,0,1,0,0,0,0
42,2424,49,26,0,1,0,0,0,0
43,2420,49,30,0,1,0,0,0,0
44,2416,49,34,0,1,0,0,0,0
45,2413,49,37,0,1,0,0,0,0
46,2404,49,46,0,1,0,0,0,0
47,2400,49,50,0,1,0,0,0,0
48,2396,49,54,0,1,0,0,0,0
49,2387,49,63,0,1,0,0,0,0
50,2382,48,69,0,1,0,0,0,0
51,2375,48,76,0,1,0,0,0,0
52,2369,48,82,0,1,0,0,0,0
53,2363,48,88,0,1,0,0,0,0
54,2354,48,97,0,1,0,0,0,0
55,2349,48,102,0,1,0,0,0,0
56,2340,48,111,0,1,0,0,0,0
57,2333,48,118,0,1,0,0,0,0
58,2323,48,128,0,1,0,0,0,0
59,2317,48,134,0,1,0,0,0,0
60,2307,48,144,0,1,0,0,0,0
61,2299,48,152,0,1,0,0,0,0
62,2290,48,161,0,1,0,0,0,0
63,2283,48,168,0,1,0,0,0,0
64,2275,48,176,0,1,0,0,0,0
65,2262,48,189,0,1,0,0,0,0
66,2257,48,194,0,1,0,0,0,0
67,2248,48,203,0,1,0,0,0,0
68,2240,47,211,1,1,0,0,0,0
69,2231,47,220,1,1,0,0,0,0
70,2222,47,229,1,1,0,0,0,0
71,2210,47,241,1,1,0,0,0,0
72,2207,47,244,1,1,0,0,0,0
73,2196,47,255,1,1,0,0,0,0
74,2193,47,258,1,1,0,0,0,0
75,2180,47,271,1,1,0,0,0,0
76,2172,47,279,1,1,0,0,0,0
77,2166,47,285,1,1,0,0,0,0
78,2156,47,295,1,1,0,0,0,0
79,2144,47,307,1,1,0,0,0,0
80,2139,47,312,1,1,0,0,0,0
81,2130,47,321,1,1,0,0,0,0
82,2124,47,327,1,1,0,0,0,0
83,2116,47,335,1,1,0,0,0,0
84,2105,47,346,1,1,0,0,0,0
85,2095,47,356,1,1,0,0,0,0
86,2089,47,361,1,2,0,0,0,0
87,2078,47,372,1,2,0,0,0,0
88,2071,47,379,1,2,0,0,0,0
89,2065,47,385,1,2,0,0,0,0
90,2056,47,394,1,2,0,0,0,0
91,2052,47,398,1,2,0,0,0,0
92,2050,47,401,1,1,0,0,0,0
93,2039,47,412,1,1,0,0,0,0
94,2033,47,418,1,1,0,0,0,0
95,2027,47,424,1,1,0,0,0,0
96,2014,47,437,1,1,0,0,0,0
97,2010,47,441,1,1,0,0,0,0
98,1995,47,456,1,1,0,0,0,0
99,1994,47,457,1,1,0,0,0,0
100,1985,47,466,1,1,0,0,0,0
101,1979,47,472,1,1,0,0,0,0
102,1972,47,479,1,1,0,0,0,0
103,1966,47,485,1,1,0,0,0,0
104,1960,47,491,1,1,0,0,0,0
105,1952,47,499,1,1,0,0,0,0
106,1947,47,504,1,1,0,0,0,0
107,1944,47,507,1,1,0,0,0,0
108,1934,47,517,1,1,0,0,0,0
109,1927,47,524,1,1,0,0,0,0
110,1921,47,530,1,1,0,0,0,0
111,1919,47,532,1,1,0,0,0,0
112,1916,47,535,1,1,0,0,0,0
113,1910,47,541,1,1,0,0,0,0
114,1899,47,552,1,1,0,0,0,0
115,1898,47,553,1,1,0,0,0,0
116,1889,47,562,1,1,0,0,0,0
117,1883,47,568,1,1,0,0,0,0
118,1880,47,571,1,1,0,0,0,0
119,1874,47,577,1,1,0,0,0,0
120,1867,47,584,1,1,0,0,0,0
121,1864,47,587,1,1,0,0,0,0
122,1862,47,589,1,1,0,0,0,0
123,1859,47,592,1,1,0,0,0,0
124,1851,47,600,1,1,0,0,0,0
125,1847,47,604,1,1,0,0,0,0
126,1845,47,606,1,1,0,0,0,0
127,1839,47,612,1,1,0,0,0,0
128,1834,47,617,1,1,0,0,0,0
129,1835,47,616,1,1,0,0,0,0
130,1832,47,619,1,1,0,0,0,0
131,1827,47,624,1,1,0,0,0,0
132,1822,47,628,1,2,0,0,0,0
133,1820,47,630,1,2,0,0,0,0
134,1819,47,631,1,2,0,0,0,0
135,1819,47,631,1,2,0,0,0,0
136,1816,47,634,1,2,0,0,0,0
137,1809,47,641,1,2,0,0,0,0
138,1809,47,641,1,2,0,0,0,0
139,1808,47,642,1,2,0,0,0,0
140,1800,47,650,1,2,0,0,0,0
141,1797,47,653,1,2,0,0,0,0
142,1796,47,655,1,1,0,0,0,0
143,1793,47,658,1,1,0,0,0,0
144,1783,47,668,1,1,0,0,0,0
145,1783,47,668,1,1,0,0,0,0
146,1779,47,672,1,1,0,0,0,0
147,1782,47,669,1,1,0,0,0,0
148,1779,47,672,1,1,0,0,0,0
149,1776,47,675,1,1,0,0,0,0
150,1772,47,679,1,1,0,0,0,0
151,1768,47,683,1,1,0,0,0,0
152,1767,47,684,1,1,0,0,0,0
153,1769,47,682,1,1,0,0,0,0
154,1764,47,687,1,1,0,0,0,0
155,1760,47,691,1,1,0,0,0,0
156,1754,47,697,1,1,0,0,0,0
157,1757,47,694,1,1,0,0,0,0
158,1761,47,690,1,1,0,0,0,0
159,1757,47,694,1,1,0,0,0,0
160,1759,47,692,1,1,0,0,0,0
161,1756,47,695,1,1,0,0,0,0
162,1753,47,698,1,1,0,0,0,0
163,1751,47,700,1,1,0,0,0,0
164,1749,47,702,1,1,0,0,0,0
165,1748,47,704,0,1,0,0,0,0
166,1746,47,706,0,1,0,0,0,0
167,1743,47,709,0,1,0,0,0,0
168,1743,47,709,0,1,0,0,0,0
169,1741,47,711,0,1,0,0,0,0
170,1735,47,717,0,1,0,0,0,0
171,1729,47,723,0,1,0,0,0,0
172,1730,47,722,0,1,0,0,0,0
173,1730,47,722,0,1,0,0,0,0
174,1729,47,723,0,1,0,0,0,0
175,1729,47,723,0,1,0,0,0,0
176,1726,47,726,0,1,0,0,0,0
177,1718,47,734,0,1,0,0,0,0
178,1718,47,734,0,1,0,0,0,0
179,1721,47,731,0,1,0,0,0,0
180,1715,47,737,0,1,0,0,0,0
181,1715,47,737,0,1,0,0,0,0
182,1716,47,736,0,1,0,0,0,0
183,1716,47,736,0,1,0,0,0,0
184,1716,47,736,0,1,0,0,0,0
185,1717,47,735,0,1,0,0,0,0
186,1712,47,740,0,1,0,0,0,0
187,1716,47,736,0,1,0,0,0,0
188,1718,47,734,0,1,0,0,0,0
189,1718,47,734,0,1,0,0,0,0
190,1721,47,730,0,1,0,1,0,0
191,1722,47,729,0,1,0,1,0,0
192,1722,47,729,0,1,0,1,0,0
193,1716,47,735,0,1,0,1,0,0
194,1719,47,732,0,1,0,1,0,0
195,1715,47,736,0,1,0,1,0,0
196,1707,47,744,0,1,0,1,0,0
197,1710,47,741,0,1,0,1,0,0
198,1711,47,740,0,1,0,1,0,0
199,1715,47,736,0,1,0,1,0,0
200,1709,47,742,0,1,0,1,0,0
201,1715,47,736,0,1,0,1,0,0
202,1708,47,743,0,1,0,1,0,0
203,1710,47,741,0,1,0,1,0,0
204,1713,47,738,0,1,0,1,0,0
205,1710,47,741,0,1,0,1,0,0
206,1712,47,739,0,1,0,1,0,0
207,1719,47,732,0,1,0,1,0,0
208,1719,47,732,0,1,0,1,0,0
209,1716,47,735,0,1,0,1,0,0
210,1720,47,731,0,1,0,1,0,0
211,1718,47,733,0,1,0,1,0,0
212,1720,47,731,0,1,0,1,0,0
213,1722,47,729,0,1,0,1,0,0
