Iteration,empty,normal,H,G,GH,A,AH,AG,AGH
0,2450,50,0,0,0,0,0,0,0
1,2450,50,0,0,0,0,0,0,0
2,2450,50,0,0,0,0,0,0,0
3,2450,50,0,0,0,0,0,0,0
4,2450,50,0,0,0,0,0,0,0
5,2450,50,0,0,0,0,0,0,0
6,2450,50,0,0,0,0,0,0,0
7,2450,50,0,0,0,0,0,0,0
8,2450,50,0,0,0,0,0,0,0
9,2450,50,0,0,0,0,0,0,0
10,2450,50,0,0,0,0,0,0,0
11,2451,49,0,0,0,0,0,0,0
12,2451,49,0,0,0,0,0,0,0
13,2451,49,0,0,0,0,0,0,0
14,2451,49,0,0,0,0,0,0,0
15,2450,50,0,0,0,0,0,0,0
16,2451,49,0,0,0,0,0,0,0
17,2450,50,0,0,0,0,0,0,0
18,2450,50,0,0,0,0,0,0,0
19,2450,50,0,0,0,0,0,0,0
20,2451,49,0,0,0,0,0,0,0
21,2450,50,0,0,0,0,0,0,0
22,2451,49,0,0,0,0,0,0,0
23,2451,49,0,0,0,0,0,0,0
24,2452,48,0,0,0,0,0,0,0
25,2451,49,0,0,0,0,0,0,0
26,2450,50,0,0,0,0,0,0,0
27,2450,50,0,0,0,0,0,0,0
28,2450,50,0,0,0,0,0,0,0
29,2450,50,0,0,0,0,0,0,0
30,2450,50,0,0,0,0,0,0,0
31,2451,49,0,0,0,0,0,0,0
32,2451,49,0,0,0,0,0,0,0
33,2450,50,0,0,0,0,0,0,0
34,2450,50,0,0,0,0,0,0,0
35,2450,50,0,0,0,0,0,0,0
36,2451,49,0,0,0,0,0,0,0
37,2450,50,0,0,0,0,0,0,0
38,2450,50,0,0,0,0,0,0,0
39,2450,50,0,0,0,0,0,0,0
40,2450,49,1,0,0,0,0,0,0
41,2449,50,1,0,0,0,0,0,0
42,2448,50,2,0,0,0,0,0,0
43,2448,50,2,0,0,0,0,0,0
44,2446,50,4,0,0,0,0,0,0
45,2446,50,4,0,0,0,0,0,0
46,2442,50,8,0,0,0,0,0,0
47,2442,50,8,0,0,0,0,0,0
48,2437,50,13,0,0,0,0,0,0
49,2437,50,13,0,0,0,0,0,0
50,2433,50,17,0,0,0,0,0,0
51,2430,50,20,0,0,0,0,0,0
52,2426,50,24,0,0,0,0,0,0
53,2423,50,27,0,0,0,0,0,0
54,2417,49,34,0,0,0,0,0,0
55,2414,49,37,0,0,0,0,0,0
56,2408,49,43,0,0,0,0,0,0
57,2404,49,47,0,0,0,0,0,0
58,2398,49,53,0,0,0,0,0,0
59,2394,49,57,0,0,0,0,0,0
60,2389,49,62,0,0,0,0,0,0
61,2384,49,67,0,0,0,0,0,0
62,2375,49,76,0,0,0,0,0,0
63,2372,48,80,0,0,0,0,0,0
64,2363,48,89,0,0,0,0,0,0
65,2360,48,92,0,0,0,0,0,0
66,2353,48,99,0,0,0,0,0,0
67,2353,48,99,0,0,0,0,0,0
68,2339,48,113,0,0,0,0,0,0
69,2334,47,119,0,0,0,0,0,0
70,2319,46,135,0,0,0,0,0,0
71,2314,47,139,0,0,0,0,0,0
72,2292,47,161,0,0,0,0,0,0
73,2291,47,162,0,0,0,0,0,0
74,2279,46,174,0,0,1,0,0,0
75,2266,46,187,0,0,1,0,0,0
76,2257,46,196,0,0,1,0,0,0
77,2246,46,207,0,0,1,0,0,0
78,2230,46,223,0,0,1,0,0,0
79,2224,46,229,0,0,1,0,0,0
80,2213,46,240,0,0,1,0,0,0
81,2201,46,252,0,0,1,0,0,0
82,2196,46,257,0,0,1,0,0,0
83,2181,45,273,0,0,1,0,0,0
84,2164,45,290,0,0,1,0,0,0
85,2160,46,293,0,0,1,0,0,0
86,2151,46,302,0,0,1,0,0,0
87,2139,46,314,0,0,1,0,0,0
88,2125,46,328,0,0,1,0,0,0
89,2118,46,335,0,0,1,0,0,0
90,2117,45,337,0,0,1,0,0,0
91,2107,45,347,0,0,1,0,0,0
92,2101,45,353,0,0,1,0,0,0
93,2096,45,358,0,0,1,0,0,0
94,2087,45,367,0,0,1,0,0,0
95,2085,44,370,0,0,1,0,0,0
96,2070,44,385,0,0,1,0,0,0
97,2058,45,396,0,0,1,0,0,0
98,2056,44,399,0,0,1,0,0,0
99,2046,44,409,0,0,1,0,0,0
100,2035,43,421,0,0,1,0,0,0
101,2032,43,424,0,0,1,0,0,0
102,2035,43,421,0,0,1,0,0,0
103,2022,43,434,0,0,1,0,0,0
104,2019,43,437,0,0,1,0,0,0
105,2016,42,441,0,0,1,0,0,0
106,2014,42,443,0,0,1,0,0,0
107,2021,41,437,0,0,1,0,0,0
108,2019,41,439,0,0,1,0,0,0
109,2006,41,452,0,0,1,0,0,0
110,2004,40,455,0,0,1,0,0,0
111,2012,40,447,0,0,1,0,0,0
112,2005,39,455,0,0,1,0,0,0
113,1995,39,465,0,0,1,0,0,0
114,1995,39,464,0,1,1,0,0,0
115,1990,39,469,0,1,1,0,0,0
116,1980,39,479,0,1,1,0,0,0
117,1974,38,486,0,1,1,0,0,0
118,1988,38,472,0,1,1,0,0,0
119,1990,37,471,0,1,1,0,0,0
120,1986,37,475,0,1,1,0,0,0
121,1977,37,484,0,1,1,0,0,0
122,1981,35,482,0,1,1,0,0,0
123,1984,35,479,0,1,1,0,0,0
124,1997,36,465,0,1,1,0,0,0
125,1986,36,477,0,0,1,0,0,0
126,1971,36,492,0,0,1,0,0,0
127,1966,35,498,0,0,1,0,0,0
128,1965,35,498,0,1,1,0,0,0
129,1960,34,504,0,1,1,0,0,0
130,1960,34,504,0,1,1,0,0,0
131,1957,34,507,0,1,1,0,0,0
132,1953,34,511,0,1,1,0,0,0
133,1942,34,522,0,1,1,0,0,0
134,1944,34,520,0,1,1,0,0,0
135,1947,34,517,0,1,1,0,0,0
136,1947,34,516,0,2,1,0,0,0
137,1938,34,525,0,2,1,0,0,0
138,1934,34,529,0,2,1,0,0,0
139,1936,34,528,0,1,1,0,0,0
140,1943,34,521,0,1,1,0,0,0
141,1940,34,524,0,1,1,0,0,0
142,1934,34,529,0,1,1,1,0,0
143,1931,34,532,0,1,1,1,0,0
144,1936,34,526,0,2,1,1,0,0
145,1938,34,524,0,2,1,1,0,0
146,1950,34,511,0,3,1,1,0,0
147,1959,34,501,0,3,1,2,0,0
148,1961,34,500,0,3,0,2,0,0
149,1954,34,508,0,2,0,2,0,0
150,1958,33,505,0,2,0,2,0,0
151,1962,33,499,0,4,0,2,0,0
152,1979,33,482,0,4,0,2,0,0
153,1979,31,482,0,6,0,2,0,0
154,1995,31,467,0,5,0,2,0,0
155,1986,31,477,0,4,0,2,0,0
156,1987,31,476,0,4,0,2,0,0
157,1986,31,477,0,4,0,2,0,0
158,1981,30,483,0,4,0,2,0,0
159,1992,30,472,0,4,0,2,0,0
160,1986,30,477,0,5,0,2,0,0
161,1980,30,483,0,5,0,2,0,0
162,1972,30,491,0,5,0,2,0,0
163,1982,30,482,0,4,0,2,0,0
164,1990,30,473,0,5,0,2,0,0
165,2002,30,460,0,6,0,2,0,0
166,2008,30,455,0,5,0,2,0,0
167,2019,28,446,0,5,0,2,0,0
168,2018,27,447,0,6,0,2,0,0
169,2006,27,458,0,7,0,2,0,0
170,2023,27,441,0,7,0,2,0,0
171,2024,27,441,0,6,0,2,0,0
172,2027,27,438,0,6,0,2,0,0
173,2033,27,433,0,5,0,2,0,0
174,2029,28,436,0,5,0,2,0,0
175,2032,28,431,0,6,0,3,0,0
176,2038,28,426,0,4,0,4,0,0
177,2037,27,425,0,7,0,4,0,0
178,2021,27,440,0,8,0,4,0,0
179,2026,25,438,0,7,0,4,0,0
180,2019,25,444,0,9,0,3,0,0
181,2009,26,455,0,7,0,3,0,0
182,2026,25,438,0,7,0,4,0,0
183,2016,25,446,0,9,0,4,0,0
184,2027,25,435,0,9,0,4,0,0
185,2017,25,445,0,8,0,5,0,0
186,2021,26,439,0,9,0,5,0,0
187,2026,26,433,0,10,0,5,0,0
188,2029,26,430,0,10,0,5,0,0
189,2032,25,429,0,9,0,5,0,0
190,2036,25,425,0,9,0,5,0,0
191,2045,24,419,0,7,0,5,0,0
192,2037,24,425,0,9,0,5,0,0
193,2038,24,424,0,9,0,5,0,0
194,2057,24,406,0,8,0,5,0,0
195,2057,24,405,0,10,0,4,0,0
196,2055,24,405,0,12,0,4,0,0
197,2057,25,402,0,12,0,4,0,0
198,2057,24,400,0,15,0,4,0,0
199,2063,24,394,0,15,0,4,0,0
200,2065,24,392,0,15,0,4,0,0
201,2074,25,386,0,12,0,3,0,0
202,2061,25,399,0,12,0,3,0,0
203,2070,25,389,0,13,0,3,0,0
204,2068,25,391,0,13,0,3,0,0
205,2067,24,392,0,14,0,3,0,0
206,2077,23,384,0,13,0,3,0,0
207,2086,23,374,0,14,0,3,0,0
208,2071,23,387,0,16,0,3,0,0
209,2080,22,380,0,14,0,4,0,0
210,2083,22,373,0,18,0,4,0,0
211,2087,22,369,0,17,0,5,0,0
212,2089,22,370,0,14,0,5,0,0
213,2101,19,361,0,13,0,6,0,0
