Iteration,empty,normal,H,G,GH,A,AH,AG,AGH,total_cells,invasive_percent
0,2450,50,0,0,0,0,0,0,0,50,0.0
1,2450,49,0,1,0,0,0,0,0,50,0.02
2,2450,49,0,1,0,0,0,0,0,50,0.02
3,2450,49,0,1,0,0,0,0,0,50,0.02
4,2450,49,0,1,0,0,0,0,0,50,0.02
5,2450,49,0,1,0,0,0,0,0,50,0.02
6,2450,49,0,1,0,0,0,0,0,50,0.02
7,2450,49,0,1,0,0,0,0,0,50,0.02
8,2450,49,0,1,0,0,0,0,0,50,0.02
9,2450,49,0,1,0,0,0,0,0,50,0.02
10,2450,49,0,1,0,0,0,0,0,50,0.02
11,2450,48,1,1,0,0,0,0,0,50,0.04
12,2450,48,1,1,0,0,0,0,0,50,0.04
13,2449,48,2,1,0,0,0,0,0,51,0.058823529411764705
14,2449,48,2,1,0,0,0,0,0,51,0.058823529411764705
15,2448,48,3,1,0,0,0,0,0,52,0.07692307692307693
16,2448,48,3,1,0,0,0,0,0,52,0.07692307692307693
17,2447,48,4,1,0,0,0,0,0,53,0.09433962264150944
18,2446,48,5,1,0,0,0,0,0,54,0.1111111111111111
19,2445,48,6,1,0,0,0,0,0,55,0.12727272727272726
20,2442,48,9,1,0,0,0,0,0,58,0.1724137931034483
21,2440,48,11,1,0,0,0,0,0,60,0.2
22,2437,48,14,1,0,0,0,0,0,63,0.23809523809523808
23,2435,48,16,1,0,0,0,0,0,65,0.26153846153846155
24,2433,48,18,1,0,0,0,0,0,67,0.2835820895522388
25,2428,48,23,1,0,0,0,0,0,72,0.3333333333333333
26,2424,48,27,1,0,0,0,0,0,76,0.3684210526315789
27,2417,48,34,1,0,0,0,0,0,83,0.42168674698795183
28,2416,48,35,1,0,0,0,0,0,84,0.42857142857142855
29,2408,48,43,1,0,0,0,0,0,92,0.4782608695652174
30,2404,48,47,1,0,0,0,0,0,96,0.5
31,2400,48,51,1,0,0,0,0,0,100,0.52
32,2396,48,55,1,0,0,0,0,0,104,0.5384615384615384
