Iteration,empty,normal,H,G,GH,A,AH,AG,AGH
0,2450,50,0,0,0,0,0,0,0
1,2450,50,0,0,0,0,0,0,0
2,2450,50,0,0,0,0,0,0,0
3,2450,50,0,0,0,0,0,0,0
4,2450,50,0,0,0,0,0,0,0
5,2450,49,0,0,0,1,0,0,0
6,2450,48,1,0,0,1,0,0,0
7,2450,48,1,0,0,1,0,0,0
8,2449,48,2,0,0,1,0,0,0
9,2448,48,3,0,0,1,0,0,0
10,2447,48,4,0,0,1,0,0,0
11,2446,47,6,0,0,1,0,0,0
12,2444,47,8,0,0,1,0,0,0
13,2443,47,9,0,0,1,0,0,0
14,2441,47,11,0,0,1,0,0,0
15,2437,47,15,0,0,1,0,0,0
16,2433,47,19,0,0,1,0,0,0
17,2430,47,22,0,0,1,0,0,0
18,2424,47,28,0,0,1,0,0,0
19,2421,47,31,0,0,1,0,0,0
20,2416,47,36,0,0,1,0,0,0
21,2411,47,41,0,0,1,0,0,0
22,2407,47,45,0,0,1,0,0,0
23,2403,47,49,0,0,1,0,0,0
24,2399,47,53,0,0,1,0,0,0
25,2392,47,60,0,0,1,0,0,0
26,2386,47,66,0,0,1,0,0,0
27,2382,47,70,0,0,1,0,0,0
28,2374,47,78,0,0,1,0,0,0
29,2370,47,82,0,0,1,0,0,0
30,2359,47,93,0,0,1,0,0,0
31,2356,47,96,0,0,1,0,0,0
32,2343,47,109,0,0,1,0,0,0
33,2338,47,114,0,0,1,0,0,0
34,2328,47,124,0,0,1,0,0,0
35,2324,47,128,0,0,1,0,0,0
36,2316,47,136,0,0,1,0,0,0
37,2314,46,138,1,0,1,0,0,0
38,2304,46,148,1,0,1,0,0,0
39,2297,46,155,1,0,1,0,0,0
40,2284,46,168,1,0,1,0,0,0
41,2276,46,176,1,0,1,0,0,0
42,2265,46,187,1,0,1,0,0,0
43,2260,46,192,1,0,1,0,0,0
44,2251,46,201,1,0,1,0,0,0
45,2240,46,212,1,0,1,0,0,0
46,2233,46,219,1,0,1,0,0,0
47,2226,46,226,1,0,1,0,0,0
48,2221,46,231,1,0,1,0,0,0
49,2214,46,238,1,0,1,0,0,0
50,2205,46,247,1,0,1,0,0,0
51,2199,46,254,0,0,1,0,0,0
52,2191,46,262,0,0,1,0,0,0
53,2184,46,269,0,0,1,0,0,0
54,2175,45,279,0,0,1,0,0,0
55,2170,45,284,0,0,1,0,0,0
56,2162,45,292,0,0,1,0,0,0
57,2158,45,296,0,0,1,0,0,0
58,2150,45,304,0,0,1,0,0,0
59,2139,45,315,0,0,1,0,0,0
60,2133,45,321,0,0,1,0,0,0
61,2125,45,329,0,0,1,0,0,0
62,2125,45,329,0,0,1,0,0,0
63,2113,45,341,0,0,1,0,0,0
64,2105,45,349,0,0,1,0,0,0
65,2099,45,355,0,0,1,0,0,0
66,2092,45,362,0,0,1,0,0,0
67,2085,45,369,0,0,1,0,0,0
68,2078,45,376,0,0,1,0,0,0
69,2073,45,381,0,0,1,0,0,0
70,2069,45,385,0,0,1,0,0,0
71,2062,45,392,0,0,1,0,0,0
72,2056,45,398,0,0,1,0,0,0
73,2051,45,403,0,0,1,0,0,0
74,2040,45,414,0,0,1,0,0,0
75,2037,45,417,0,0,1,0,0,0
76,2030,45,424,0,0,1,0,0,0
77,2028,45,426,0,0,1,0,0,0
78,2023,45,431,0,0,1,0,0,0
79,2020,45,434,0,0,1,0,0,0
80,2013,45,441,0,0,1,0,0,0
81,2008,45,446,0,0,1,0,0,0
82,2001,45,453,0,0,1,0,0,0
83,1997,45,457,0,0,1,0,0,0
84,1994,45,460,0,0,1,0,0,0
85,1990,45,464,0,0,1,0,0,0
86,1990,45,464,0,0,1,0,0,0
87,1986,45,468,0,0,1,0,0,0
88,1986,45,468,0,0,1,0,0,0
89,1983,45,471,0,0,1,0,0,0
90,1979,45,475,0,0,1,0,0,0
91,1975,45,479,0,0,1,0,0,0
92,1972,45,482,0,0,1,0,0,0
93,1972,45,482,0,0,1,0,0,0
94,1968,45,486,0,0,1,0,0,0
95,1966,45,488,0,0,1,0,0,0
96,1963,45,491,0,0,1,0,0,0
97,1958,45,496,0,0,1,0,0,0
98,1953,45,501,0,0,1,0,0,0
99,1954,45,500,0,0,1,0,0,0
100,1951,45,503,0,0,1,0,0,0
101,1952,45,502,0,0,1,0,0,0
102,1949,45,505,0,0,1,0,0,0
103,1949,45,505,0,0,1,0,0,0
104,1950,45,504,0,0,1,0,0,0
105,1951,45,503,0,0,1,0,0,0
106,1953,45,501,0,0,1,0,0,0
107,1952,45,502,0,0,1,0,0,0
108,1949,45,505,0,0,1,0,0,0
109,1943,45,511,0,0,1,0,0,0
110,1940,45,514,0,0,1,0,0,0
111,1940,45,514,0,0,1,0,0,0
112,1940,45,514,0,0,1,0,0,0
113,1940,45,514,0,0,1,0,0,0
114,1940,45,514,0,0,1,0,0,0
115,1940,45,514,0,0,1,0,0,0
116,1940,45,514,0,0,1,0,0,0
117,1938,45,516,0,0,1,0,0,0
118,1940,45,514,0,0,1,0,0,0
119,1937,45,517,0,0,1,0,0,0
120,1933,45,521,0,0,1,0,0,0
121,1934,45,520,0,0,1,0,0,0
122,1936,45,518,0,0,1,0,0,0
123,1936,45,518,0,0,1,0,0,0
124,1930,45,524,0,0,1,0,0,0
125,1927,45,527,0,0,1,0,0,0
126,1927,45,527,0,0,1,0,0,0
127,1927,45,527,0,0,1,0,0,0
128,1929,45,525,0,0,1,0,0,0
129,1929,45,525,0,0,1,0,0,0
130,1929,45,525,0,0,1,0,0,0
131,1925,45,529,0,0,1,0,0,0
132,1924,45,530,0,0,1,0,0,0
133,1925,45,529,0,0,1,0,0,0
134,1926,45,528,0,0,1,0,0,0
135,1927,45,527,0,0,1,0,0,0
136,1925,45,529,0,0,1,0,0,0
137,1926,45,528,0,0,1,0,0,0
138,1925,45,529,0,0,1,0,0,0
139,1923,45,531,0,0,1,0,0,0
140,1925,45,529,0,0,1,0,0,0
141,1923,45,531,0,0,1,0,0,0
142,1925,45,529,0,0,1,0,0,0
143,1923,45,531,0,0,1,0,0,0
144,1926,45,528,0,0,1,0,0,0
145,1923,45,531,0,0,1,0,0,0
146,1923,45,531,0,0,1,0,0,0
147,1922,45,532,0,0,1,0,0,0
148,1919,45,535,0,0,1,0,0,0
149,1919,45,535,0,0,1,0,0,0
150,1924,45,530,0,0,1,0,0,0
151,1926,45,528,0,0,1,0,0,0
152,1921,45,533,0,0,1,0,0,0
153,1922,45,532,0,0,1,0,0,0
154,1926,45,527,1,0,1,0,0,0
155,1924,45,529,1,0,1,0,0,0
156,1926,45,527,1,0,1,0,0,0
157,1928,45,525,1,0,1,0,0,0
158,1933,45,520,1,0,1,0,0,0
159,1935,45,518,1,0,1,0,0,0
160,1934,45,519,1,0,1,0,0,0
161,1935,45,518,1,0,1,0,0,0
162,1938,44,516,1,0,1,0,0,0
163,1935,44,519,1,0,1,0,0,0
164,1939,44,515,1,0,1,0,0,0
165,1941,44,513,1,0,1,0,0,0
166,1944,44,510,1,0,1,0,0,0
167,1946,44,508,1,0,1,0,0,0
168,1943,44,510,1,1,1,0,0,0
169,1942,44,511,1,1,1,0,0,0
170,1940,44,513,1,1,1,0,0,0
171,1943,44,510,1,1,1,0,0,0
172,1943,44,510,1,1,1,0,0,0
173,1944,44,509,1,1,1,0,0,0
174,1943,44,509,1,2,1,0,0,0
175,1943,44,509,1,2,1,0,0,0
176,1947,44,505,1,2,1,0,0,0
177,1942,44,510,1,2,1,0,0,0
178,1945,44,507,1,2,1,0,0,0
179,1943,44,509,1,2,1,0,0,0
180,1944,43,509,1,2,1,0,0,0
181,1943,43,510,1,2,1,0,0,0
182,1942,43,511,1,2,1,0,0,0
183,1941,43,512,1,2,1,0,0,0
184,1942,43,511,1,2,1,0,0,0
185,1940,42,514,1,2,1,0,0,0
186,1940,42,514,1,2,1,0,0,0
187,1940,42,514,1,2,1,0,0,0
188,1943,42,511,1,2,1,0,0,0
189,1945,42,509,1,2,1,0,0,0
190,1945,42,509,1,2,1,0,0,0
191,1943,42,511,1,2,1,0,0,0
192,1945,42,509,1,2,1,0,0,0
193,1946,42,508,1,2,1,0,0,0
194,1949,42,505,1,2,1,0,0,0
195,1947,42,506,1,3,1,0,0,0
196,1948,42,505,1,3,1,0,0,0
197,1951,42,502,1,3,1,0,0,0
198,1953,42,501,1,2,1,0,0,0
199,1952,41,502,1,3,1,0,0,0
200,1952,41,502,1,3,1,0,0,0
201,1955,41,499,1,3,1,0,0,0
202,1952,41,502,1,3,1,0,0,0
203,1954,41,500,1,3,1,0,0,0
204,1956,41,497,1,4,1,0,0,0
205,1959,41,493,1,5,1,0,0,0
206,1962,41,490,1,5,1,0,0,0
207,1963,41,489,1,5,1,0,0,0
208,1964,41,488,1,5,1,0,0,0
209,1964,41,488,1,5,1,0,0,0
210,1961,41,491,1,5,1,0,0,0
211,1961,41,491,1,5,1,0,0,0
212,1963,41,490,1,4,1,0,0,0
213,1963,41,490,1,4,1,0,0,0
